,region,country_year,total_pageviews,population
0,Europe,Albania 2017,11847,2880321.0
1,Europe,Albania 2018,20783,2878389.0
2,Europe,Albania 2019,20322,2875637.0
3,Europe,Albania 2020,51598,2872130.0
4,Europe,Albania 2021,81735,2861567.0
5,Europe,Albania 2022,35385,2847853.0
6,Africa,Algeria 2017,219658,40738828.0
7,Africa,Algeria 2018,215867,41534264.0
8,Africa,Algeria 2019,128254,42319750.0
9,Africa,Algeria 2020,81460,43090987.0
10,Africa,Algeria 2021,102947,43812345.0
11,Africa,Algeria 2022,62774,44543592.0
12,Oceania,American Samoa 2017,3573,49965.0
13,Europe,Andorra 2017,4023,73312.0
14,Africa,Angola 2017,1526,29678369.0
15,Africa,Angola 2018,1697,30738887.0
16,Africa,Angola 2022,1690,35049572.0
17,Americas,Anguilla 2021,457,15675.0
18,Americas,Antigua and Barbuda 2018,531,91395.0
19,Americas,Argentina 2017,997950,43864639.0
20,Americas,Argentina 2018,797888,44244593.0
21,Americas,Argentina 2019,1151407,44582599.0
22,Americas,Argentina 2020,570665,44908441.0
23,Americas,Argentina 2021,128014,45163623.0
24,Americas,Argentina 2022,367433,45389937.0
25,Asia,Armenia 2017,4280,2859439.0
26,Asia,Armenia 2018,1063,2844407.0
27,Asia,Armenia 2019,776,2828707.0
28,Asia,Armenia 2021,2254,2798721.0
29,Asia,Armenia 2022,2892,2783226.0
30,Americas,Aruba 2017,3902,105171.0
31,Oceania,Australia 2017,268908,24392368.0
32,Oceania,Australia 2018,230038,24788299.0
33,Oceania,Australia 2019,961010,25170161.0
34,Oceania,Australia 2020,750373,25544179.0
35,Oceania,Australia 2021,517513,25795922.0
36,Oceania,Australia 2022,426890,26046256.0
37,Europe,Austria 2017,42052,8772740.0
38,Europe,Austria 2018,37557,8822252.0
39,Europe,Austria 2019,343616,8858773.0
40,Europe,Austria 2020,87495,8901106.0
41,Europe,Austria 2021,1259383,8914448.0
42,Europe,Austria 2022,80765,8929716.0
43,Americas,Barbados 2017,7617,278929.0
44,Americas,Barbados 2018,2339,279445.0
45,Europe,Belgium 2017,27165,11351651.0
46,Europe,Belgium 2018,4535,11417328.0
47,Europe,Belgium 2019,252944,11479863.0
48,Europe,Belgium 2020,30414,11541273.0
49,Europe,Belgium 2021,47544,11582160.0
50,Europe,Belgium 2022,29842,11640679.0
51,Americas,Belize 2017,480,371019.0
52,Americas,Belize 2021,1206,397415.0
53,Africa,Benin 2017,528,11426259.0
54,Africa,Benin 2022,653,13174363.0
55,Asia,Bhutan 2022,466,779965.0
56,Americas,Bolivia 2017,7304,11349540.0
